experiment,method,N,seed_level_variance
grounding_calibration_repair,calibrated,1,0.0003811143062732849
grounding_calibration_repair,calibrated,2,0.0005471389768317331
grounding_calibration_repair,calibrated,4,0.00035131597161905636
grounding_calibration_repair,calibrated,8,5.8460914855638646e-05
grounding_calibration_repair,calibrated,16,7.178739673960133e-07
grounding_calibration_repair,calibrated,32,1.1007458107678354e-06
grounding_calibration_repair,calibrated,64,2.6590995661492214e-06
grounding_calibration_repair,calibrated,128,3.5063818158437975e-06
grounding_calibration_repair,grounded_combined,1,0.0003811143062732849
grounding_calibration_repair,grounded_combined,2,0.0007774883607447791
grounding_calibration_repair,grounded_combined,4,0.0008468853185521165
grounding_calibration_repair,grounded_combined,8,0.00024742030846147754
grounding_calibration_repair,grounded_combined,16,7.153420463804764e-06
grounding_calibration_repair,grounded_combined,32,2.4692403963361405e-09
grounding_calibration_repair,grounded_combined,64,3.4490771197647718e-18
grounding_calibration_repair,grounded_combined,128,0.0
grounding_calibration_repair,oracle,1,0.0003811143062732849
grounding_calibration_repair,oracle,2,0.00054062031049587
grounding_calibration_repair,oracle,4,0.0003435116823233665
grounding_calibration_repair,oracle,8,5.6799978501918566e-05
grounding_calibration_repair,oracle,16,9.97346030889774e-07
grounding_calibration_repair,oracle,32,2.1469755583446343e-10
grounding_calibration_repair,oracle,64,6.226792743910433e-20
grounding_calibration_repair,oracle,128,0.0
grounding_calibration_repair,random,1,0.0003811143062732849
grounding_calibration_repair,random,2,0.0007259673859328467
grounding_calibration_repair,random,4,0.0007190888239042622
grounding_calibration_repair,random,8,0.00045109059875027047
grounding_calibration_repair,random,16,0.00028697308952766235
grounding_calibration_repair,random,32,0.0001277088264228467
grounding_calibration_repair,random,64,0.0016640911588168123
grounding_calibration_repair,random,128,0.04653899016203702
grounding_calibration_repair,raw_semantic,1,0.0003811143062732849
grounding_calibration_repair,raw_semantic,2,0.00027905499367166106
grounding_calibration_repair,raw_semantic,4,4.544147434040309e-05
grounding_calibration_repair,raw_semantic,8,0.00014846419621956003
grounding_calibration_repair,raw_semantic,16,0.0005750295186482192
grounding_calibration_repair,raw_semantic,32,0.0008286364993931773
grounding_calibration_repair,raw_semantic,64,0.0013735618420929587
grounding_calibration_repair,raw_semantic,128,0.006337167245370374
grounding_calibration_repair,semantic_plus_physical,1,0.0003811143062732849
grounding_calibration_repair,semantic_plus_physical,2,0.0007463761650886872
grounding_calibration_repair,semantic_plus_physical,4,0.0008885601015473866
grounding_calibration_repair,semantic_plus_physical,8,0.0005114043956680842
grounding_calibration_repair,semantic_plus_physical,16,0.00017097168765988177
grounding_calibration_repair,semantic_plus_physical,32,0.00022572301216218263
grounding_calibration_repair,semantic_plus_physical,64,0.0009014277520485094
grounding_calibration_repair,semantic_plus_physical,128,0.00376302083333333
grounding_calibration_repair,torch_calibrated,1,0.0003811143062732849
grounding_calibration_repair,torch_calibrated,2,0.000546931296750756
grounding_calibration_repair,torch_calibrated,4,0.00035082886377546594
grounding_calibration_repair,torch_calibrated,8,5.82929649871242e-05
grounding_calibration_repair,torch_calibrated,16,7.137419921600623e-07
grounding_calibration_repair,torch_calibrated,32,1.1041994026412225e-06
grounding_calibration_repair,torch_calibrated,64,2.6591159992632754e-06
grounding_calibration_repair,torch_calibrated,128,3.5063818158437975e-06
grounding_calibration_repair,torch_semantic,1,0.0003811143062732849
grounding_calibration_repair,torch_semantic,2,0.0005425099959104557
grounding_calibration_repair,torch_semantic,4,0.0004412547502684464
grounding_calibration_repair,torch_semantic,8,0.0002209530329719208
grounding_calibration_repair,torch_semantic,16,0.0002507438508629289
grounding_calibration_repair,torch_semantic,32,0.0004887332577661472
grounding_calibration_repair,torch_semantic,64,0.0013028724106120134
grounding_calibration_repair,torch_semantic,128,0.0030093371230388343
